year,state,state_name,region,unemp_rate
2000,NM,New Mexico,West,5.75
2001,NM,New Mexico,West,5.04
2002,NM,New Mexico,West,3.76
2003,NM,New Mexico,West,6.06
2004,NM,New Mexico,West,5.78
2005,NM,New Mexico,West,5.53
2006,NM,New Mexico,West,4.93
2007,NM,New Mexico,West,4.58
2008,NM,New Mexico,West,6.09
2009,NM,New Mexico,West,8.44
2010,NM,New Mexico,West,9.15
2011,NM,New Mexico,West,7.92
2012,NM,New Mexico,West,5.67
2013,NM,New Mexico,West,5.78
2014,NM,New Mexico,West,5.46
2015,NM,New Mexico,West,4.23
2016,NM,New Mexico,West,6.01
2017,NM,New Mexico,West,6.01
2018,NM,New Mexico,West,6.03
2019,NM,New Mexico,West,6.34
2020,NM,New Mexico,West,10.73
2021,NM,New Mexico,West,5.04
2022,NM,New Mexico,West,5.82
2023,NM,New Mexico,West,2.31
2024,NM,New Mexico,West,4.37
2000,NY,New York,Northeast,5.18
2001,NY,New York,Northeast,6.56
2002,NY,New York,Northeast,5.51
2003,NY,New York,Northeast,4.34
2004,NY,New York,Northeast,3.76
2005,NY,New York,Northeast,4.55
2006,NY,New York,Northeast,5.52
2007,NY,New York,Northeast,5.59
2008,NY,New York,Northeast,6.08
2009,NY,New York,Northeast,7.3
2010,NY,New York,Northeast,9.0
2011,NY,New York,Northeast,9.22
2012,NY,New York,Northeast,4.88
2013,NY,New York,Northeast,5.36
2014,NY,New York,Northeast,7.04
2015,NY,New York,Northeast,5.74
2016,NY,New York,Northeast,4.51
2017,NY,New York,Northeast,5.79
2018,NY,New York,Northeast,4.11
2019,NY,New York,Northeast,6.45
2020,NY,New York,Northeast,12.75
2021,NY,New York,Northeast,8.61
2022,NY,New York,Northeast,2.85
2023,NY,New York,Northeast,5.64
2024,NY,New York,Northeast,7.08
2000,NC,North Carolina,South,7.22
2001,NC,North Carolina,South,5.08
2002,NC,North Carolina,South,6.04
2003,NC,North Carolina,South,5.47
2004,NC,North Carolina,South,3.48
2005,NC,North Carolina,South,5.83
2006,NC,North Carolina,South,5.26
2007,NC,North Carolina,South,6.55
2008,NC,North Carolina,South,8.57
2009,NC,North Carolina,South,8.88
2010,NC,North Carolina,South,8.91
2011,NC,North Carolina,South,8.57
2012,NC,North Carolina,South,6.44
2013,NC,North Carolina,South,6.45
2014,NC,North Carolina,South,3.67
2015,NC,North Carolina,South,3.91
2016,NC,North Carolina,South,2.95
2017,NC,North Carolina,South,5.71
2018,NC,North Carolina,South,5.04
2019,NC,North Carolina,South,5.82
2020,NC,North Carolina,South,10.2
2021,NC,North Carolina,South,5.83
2022,NC,North Carolina,South,3.95
2023,NC,North Carolina,South,4.53
2024,NC,North Carolina,South,4.31
2000,ND,North Dakota,Midwest,6.27
2001,ND,North Dakota,Midwest,3.49
2002,ND,North Dakota,Midwest,5.94
2003,ND,North Dakota,Midwest,4.87
2004,ND,North Dakota,Midwest,4.62
2005,ND,North Dakota,Midwest,5.18
2006,ND,North Dakota,Midwest,6.36
2007,ND,North Dakota,Midwest,2.59
2008,ND,North Dakota,Midwest,4.03
2009,ND,North Dakota,Midwest,4.45
2010,ND,North Dakota,Midwest,8.7
2011,ND,North Dakota,Midwest,6.27
2012,ND,North Dakota,Midwest,4.0
2013,ND,North Dakota,Midwest,3.02
2014,ND,North Dakota,Midwest,4.85
2015,ND,North Dakota,Midwest,3.64
2016,ND,North Dakota,Midwest,3.07
2017,ND,North Dakota,Midwest,5.52
2018,ND,North Dakota,Midwest,2.31
2019,ND,North Dakota,Midwest,3.44
2020,ND,North Dakota,Midwest,13.28
2021,ND,North Dakota,Midwest,4.62
2022,ND,North Dakota,Midwest,2.87
2023,ND,North Dakota,Midwest,2.56
2024,ND,North Dakota,Midwest,3.35
2000,OH,Ohio,Midwest,5.9
2001,OH,Ohio,Midwest,4.67
2002,OH,Ohio,Midwest,2.87
2003,OH,Ohio,Midwest,5.42
2004,OH,Ohio,Midwest,7.2
2005,OH,Ohio,Midwest,6.51
2006,OH,Ohio,Midwest,4.68
2007,OH,Ohio,Midwest,6.22
2008,OH,Ohio,Midwest,5.28
2009,OH,Ohio,Midwest,7.56
2010,OH,Ohio,Midwest,6.97
2011,OH,Ohio,Midwest,7.11
2012,OH,Ohio,Midwest,5.91
2013,OH,Ohio,Midwest,4.61
2014,OH,Ohio,Midwest,5.78
2015,OH,Ohio,Midwest,7.36
2016,OH,Ohio,Midwest,6.51
2017,OH,Ohio,Midwest,4.1
2018,OH,Ohio,Midwest,3.46
2019,OH,Ohio,Midwest,5.02
2020,OH,Ohio,Midwest,9.01
2021,OH,Ohio,Midwest,5.96
2022,OH,Ohio,Midwest,5.01
2023,OH,Ohio,Midwest,4.61
2024,OH,Ohio,Midwest,4.59
2000,OK,Oklahoma,South,5.09
2001,OK,Oklahoma,South,7.02
2002,OK,Oklahoma,South,6.13
2003,OK,Oklahoma,South,3.65
2004,OK,Oklahoma,South,3.62
2005,OK,Oklahoma,South,3.99
2006,OK,Oklahoma,South,4.74
2007,OK,Oklahoma,South,6.41
2008,OK,Oklahoma,South,6.89
2009,OK,Oklahoma,South,8.75
2010,OK,Oklahoma,South,9.92
2011,OK,Oklahoma,South,8.74
2012,OK,Oklahoma,South,6.41
2013,OK,Oklahoma,South,5.2
2014,OK,Oklahoma,South,4.29
2015,OK,Oklahoma,South,2.2
2016,OK,Oklahoma,South,4.19
2017,OK,Oklahoma,South,6.58
2018,OK,Oklahoma,South,3.63
2019,OK,Oklahoma,South,4.97
2020,OK,Oklahoma,South,11.5
2021,OK,Oklahoma,South,5.78
2022,OK,Oklahoma,South,3.58
2023,OK,Oklahoma,South,6.07
2024,OK,Oklahoma,South,4.87
2000,OR,Oregon,West,5.65
2001,OR,Oregon,West,5.44
2002,OR,Oregon,West,6.01
2003,OR,Oregon,West,6.53
2004,OR,Oregon,West,6.46
2005,OR,Oregon,West,5.0
2006,OR,Oregon,West,5.76
2007,OR,Oregon,West,3.15
2008,OR,Oregon,West,6.6
2009,OR,Oregon,West,8.46
2010,OR,Oregon,West,8.0
2011,OR,Oregon,West,6.22
2012,OR,Oregon,West,5.42
2013,OR,Oregon,West,2.84
2014,OR,Oregon,West,4.97
2015,OR,Oregon,West,4.85
2016,OR,Oregon,West,2.96
2017,OR,Oregon,West,4.42
2018,OR,Oregon,West,5.93
2019,OR,Oregon,West,7.36
2020,OR,Oregon,West,11.75
2021,OR,Oregon,West,5.48
2022,OR,Oregon,West,3.7
2023,OR,Oregon,West,3.56
2024,OR,Oregon,West,5.0
2000,PA,Pennsylvania,Northeast,8.18
2001,PA,Pennsylvania,Northeast,6.68
2002,PA,Pennsylvania,Northeast,6.93
2003,PA,Pennsylvania,Northeast,6.53
2004,PA,Pennsylvania,Northeast,1.92
2005,PA,Pennsylvania,Northeast,4.07
2006,PA,Pennsylvania,Northeast,3.69
2007,PA,Pennsylvania,Northeast,6.42
2008,PA,Pennsylvania,Northeast,7.88
2009,PA,Pennsylvania,Northeast,6.05
2010,PA,Pennsylvania,Northeast,8.27
2011,PA,Pennsylvania,Northeast,7.87
2012,PA,Pennsylvania,Northeast,4.39
2013,PA,Pennsylvania,Northeast,3.32
2014,PA,Pennsylvania,Northeast,3.05
2015,PA,Pennsylvania,Northeast,5.41
2016,PA,Pennsylvania,Northeast,2.61
2017,PA,Pennsylvania,Northeast,5.73
2018,PA,Pennsylvania,Northeast,4.1
2019,PA,Pennsylvania,Northeast,6.57
2020,PA,Pennsylvania,Northeast,12.27
2021,PA,Pennsylvania,Northeast,4.31
2022,PA,Pennsylvania,Northeast,2.58
2023,PA,Pennsylvania,Northeast,4.44
2024,PA,Pennsylvania,Northeast,2.15
2000,RI,Rhode Island,Northeast,3.37
2001,RI,Rhode Island,Northeast,4.32
2002,RI,Rhode Island,Northeast,4.72
2003,RI,Rhode Island,Northeast,2.45
2004,RI,Rhode Island,Northeast,3.79
2005,RI,Rhode Island,Northeast,5.3
2006,RI,Rhode Island,Northeast,6.5
2007,RI,Rhode Island,Northeast,1.5
2008,RI,Rhode Island,Northeast,7.35
2009,RI,Rhode Island,Northeast,8.47
2010,RI,Rhode Island,Northeast,6.47
2011,RI,Rhode Island,Northeast,4.65
2012,RI,Rhode Island,Northeast,5.8
2013,RI,Rhode Island,Northeast,3.61
2014,RI,Rhode Island,Northeast,4.3
2015,RI,Rhode Island,Northeast,5.41
2016,RI,Rhode Island,Northeast,3.41
2017,RI,Rhode Island,Northeast,4.23
2018,RI,Rhode Island,Northeast,4.72
2019,RI,Rhode Island,Northeast,6.82
2020,RI,Rhode Island,Northeast,12.68
2021,RI,Rhode Island,Northeast,8.04
2022,RI,Rhode Island,Northeast,4.21
2023,RI,Rhode Island,Northeast,3.39
2024,RI,Rhode Island,Northeast,7.52
2000,SC,South Carolina,South,5.88
2001,SC,South Carolina,South,6.04
2002,SC,South Carolina,South,3.87
2003,SC,South Carolina,South,4.28
2004,SC,South Carolina,South,3.04
2005,SC,South Carolina,South,4.13
2006,SC,South Carolina,South,4.91
2007,SC,South Carolina,South,2.89
2008,SC,South Carolina,South,4.51
2009,SC,South Carolina,South,7.42
2010,SC,South Carolina,South,6.94
2011,SC,South Carolina,South,5.75
2012,SC,South Carolina,South,4.46
2013,SC,South Carolina,South,2.82
2014,SC,South Carolina,South,5.39
2015,SC,South Carolina,South,3.14
2016,SC,South Carolina,South,5.53
2017,SC,South Carolina,South,5.71
2018,SC,South Carolina,South,2.79
2019,SC,South Carolina,South,5.92
2020,SC,South Carolina,South,9.68
2021,SC,South Carolina,South,4.24
2022,SC,South Carolina,South,3.84
2023,SC,South Carolina,South,3.91
2024,SC,South Carolina,South,5.18
2000,SD,South Dakota,Midwest,3.98
2001,SD,South Dakota,Midwest,5.27
2002,SD,South Dakota,Midwest,6.15
2003,SD,South Dakota,Midwest,1.5
2004,SD,South Dakota,Midwest,6.22
2005,SD,South Dakota,Midwest,4.15
2006,SD,South Dakota,Midwest,6.53
2007,SD,South Dakota,Midwest,3.89
2008,SD,South Dakota,Midwest,4.11
2009,SD,South Dakota,Midwest,7.14
2010,SD,South Dakota,Midwest,9.87
2011,SD,South Dakota,Midwest,7.05
2012,SD,South Dakota,Midwest,1.82
2013,SD,South Dakota,Midwest,5.26
2014,SD,South Dakota,Midwest,1.82
2015,SD,South Dakota,Midwest,2.67
2016,SD,South Dakota,Midwest,2.37
2017,SD,South Dakota,Midwest,1.5
2018,SD,South Dakota,Midwest,2.2
2019,SD,South Dakota,Midwest,4.02
2020,SD,South Dakota,Midwest,9.02
2021,SD,South Dakota,Midwest,5.27
2022,SD,South Dakota,Midwest,3.37
2023,SD,South Dakota,Midwest,1.69
2024,SD,South Dakota,Midwest,3.49
2000,TN,Tennessee,South,6.96
2001,TN,Tennessee,South,6.39
2002,TN,Tennessee,South,6.77
2003,TN,Tennessee,South,7.46
2004,TN,Tennessee,South,7.94
2005,TN,Tennessee,South,4.81
2006,TN,Tennessee,South,4.87
2007,TN,Tennessee,South,7.67
2008,TN,Tennessee,South,8.6
2009,TN,Tennessee,South,10.36
2010,TN,Tennessee,South,5.53
2011,TN,Tennessee,South,7.59
2012,TN,Tennessee,South,1.5
2013,TN,Tennessee,South,6.33
2014,TN,Tennessee,South,5.1
2015,TN,Tennessee,South,5.05
2016,TN,Tennessee,South,4.72
2017,TN,Tennessee,South,6.9
2018,TN,Tennessee,South,4.44
2019,TN,Tennessee,South,7.92
2020,TN,Tennessee,South,11.65
2021,TN,Tennessee,South,6.81
2022,TN,Tennessee,South,5.47
2023,TN,Tennessee,South,4.87
2024,TN,Tennessee,South,2.99
2000,TX,Texas,South,5.52
2001,TX,Texas,South,6.76
2002,TX,Texas,South,6.98
2003,TX,Texas,South,3.75
2004,TX,Texas,South,5.39
2005,TX,Texas,South,4.91
2006,TX,Texas,South,4.22
2007,TX,Texas,South,6.14
2008,TX,Texas,South,5.22
2009,TX,Texas,South,7.62
2010,TX,Texas,South,9.75
2011,TX,Texas,South,8.7
2012,TX,Texas,South,6.8
2013,TX,Texas,South,8.74
2014,TX,Texas,South,4.54
2015,TX,Texas,South,5.6
2016,TX,Texas,South,3.43
2017,TX,Texas,South,5.87
2018,TX,Texas,South,6.84
2019,TX,Texas,South,8.37
2020,TX,Texas,South,10.13
2021,TX,Texas,South,6.11
2022,TX,Texas,South,6.87
2023,TX,Texas,South,4.82
2024,TX,Texas,South,6.33
2000,UT,Utah,West,3.99
2001,UT,Utah,West,5.99
2002,UT,Utah,West,4.17
2003,UT,Utah,West,5.04
2004,UT,Utah,West,5.45
2005,UT,Utah,West,5.58
2006,UT,Utah,West,5.04
2007,UT,Utah,West,5.0
2008,UT,Utah,West,6.37
2009,UT,Utah,West,9.87
2010,UT,Utah,West,6.2
2011,UT,Utah,West,5.89
2012,UT,Utah,West,3.78
2013,UT,Utah,West,4.14
2014,UT,Utah,West,2.46
2015,UT,Utah,West,5.65
2016,UT,Utah,West,4.97
2017,UT,Utah,West,4.44
2018,UT,Utah,West,3.83
2019,UT,Utah,West,6.45
2020,UT,Utah,West,10.96
2021,UT,Utah,West,6.63
2022,UT,Utah,West,3.63
2023,UT,Utah,West,5.52
2024,UT,Utah,West,2.49
2000,VT,Vermont,Northeast,4.19
2001,VT,Vermont,Northeast,3.36
2002,VT,Vermont,Northeast,5.93
2003,VT,Vermont,Northeast,2.92
2004,VT,Vermont,Northeast,7.21
2005,VT,Vermont,Northeast,2.78
2006,VT,Vermont,Northeast,7.43
2007,VT,Vermont,Northeast,5.49
2008,VT,Vermont,Northeast,5.74
2009,VT,Vermont,Northeast,8.06
2010,VT,Vermont,Northeast,11.5
2011,VT,Vermont,Northeast,8.59
2012,VT,Vermont,Northeast,2.64
2013,VT,Vermont,Northeast,6.27
2014,VT,Vermont,Northeast,4.82
2015,VT,Vermont,Northeast,2.35
2016,VT,Vermont,Northeast,5.43
2017,VT,Vermont,Northeast,2.81
2018,VT,Vermont,Northeast,4.62
2019,VT,Vermont,Northeast,6.13
2020,VT,Vermont,Northeast,9.45
2021,VT,Vermont,Northeast,6.61
2022,VT,Vermont,Northeast,2.92
2023,VT,Vermont,Northeast,4.45
2024,VT,Vermont,Northeast,3.45
2000,VA,Virginia,South,5.15
2001,VA,Virginia,South,3.84
2002,VA,Virginia,South,5.18
2003,VA,Virginia,South,4.22
2004,VA,Virginia,South,5.32
2005,VA,Virginia,South,5.48
2006,VA,Virginia,South,5.35
2007,VA,Virginia,South,5.48
2008,VA,Virginia,South,5.37
2009,VA,Virginia,South,8.58
2010,VA,Virginia,South,10.58
2011,VA,Virginia,South,6.99
2012,VA,Virginia,South,5.93
2013,VA,Virginia,South,5.24
2014,VA,Virginia,South,6.74
2015,VA,Virginia,South,6.45
2016,VA,Virginia,South,3.84
2017,VA,Virginia,South,4.95
2018,VA,Virginia,South,2.72
2019,VA,Virginia,South,4.91
2020,VA,Virginia,South,10.77
2021,VA,Virginia,South,7.1
2022,VA,Virginia,South,6.06
2023,VA,Virginia,South,4.21
2024,VA,Virginia,South,2.69
2000,WA,Washington,West,5.63
2001,WA,Washington,West,5.19
2002,WA,Washington,West,6.02
2003,WA,Washington,West,5.89
2004,WA,Washington,West,6.16
2005,WA,Washington,West,4.09
2006,WA,Washington,West,6.34
2007,WA,Washington,West,4.13
2008,WA,Washington,West,5.83
2009,WA,Washington,West,10.4
2010,WA,Washington,West,9.2
2011,WA,Washington,West,5.61
2012,WA,Washington,West,7.9
2013,WA,Washington,West,6.28
2014,WA,Washington,West,6.3
2015,WA,Washington,West,4.78
2016,WA,Washington,West,4.98
2017,WA,Washington,West,4.04
2018,WA,Washington,West,3.3
2019,WA,Washington,West,8.22
2020,WA,Washington,West,9.73
2021,WA,Washington,West,5.02
2022,WA,Washington,West,3.57
2023,WA,Washington,West,7.11
2024,WA,Washington,West,5.54
2000,WV,West Virginia,South,5.49
2001,WV,West Virginia,South,7.05
2002,WV,West Virginia,South,3.84
2003,WV,West Virginia,South,7.01
2004,WV,West Virginia,South,5.55
2005,WV,West Virginia,South,4.92
2006,WV,West Virginia,South,5.28
2007,WV,West Virginia,South,6.91
2008,WV,West Virginia,South,8.93
2009,WV,West Virginia,South,8.67
2010,WV,West Virginia,South,10.34
2011,WV,West Virginia,South,7.38
2012,WV,West Virginia,South,7.18
2013,WV,West Virginia,South,6.75
2014,WV,West Virginia,South,3.61
2015,WV,West Virginia,South,4.81
2016,WV,West Virginia,South,6.43
2017,WV,West Virginia,South,3.15
2018,WV,West Virginia,South,4.91
2019,WV,West Virginia,South,7.59
2020,WV,West Virginia,South,9.14
2021,WV,West Virginia,South,6.25
2022,WV,West Virginia,South,5.32
2023,WV,West Virginia,South,6.33
2024,WV,West Virginia,South,3.53
2000,WI,Wisconsin,Midwest,6.52
2001,WI,Wisconsin,Midwest,5.61
2002,WI,Wisconsin,Midwest,6.54
2003,WI,Wisconsin,Midwest,6.47
2004,WI,Wisconsin,Midwest,5.55
2005,WI,Wisconsin,Midwest,5.67
2006,WI,Wisconsin,Midwest,3.23
2007,WI,Wisconsin,Midwest,3.78
2008,WI,Wisconsin,Midwest,4.95
2009,WI,Wisconsin,Midwest,7.46
2010,WI,Wisconsin,Midwest,9.99
2011,WI,Wisconsin,Midwest,5.83
2012,WI,Wisconsin,Midwest,5.56
2013,WI,Wisconsin,Midwest,3.62
2014,WI,Wisconsin,Midwest,3.16
2015,WI,Wisconsin,Midwest,6.42
2016,WI,Wisconsin,Midwest,4.88
2017,WI,Wisconsin,Midwest,6.52
2018,WI,Wisconsin,Midwest,6.02
2019,WI,Wisconsin,Midwest,5.17
2020,WI,Wisconsin,Midwest,8.63
2021,WI,Wisconsin,Midwest,8.36
2022,WI,Wisconsin,Midwest,4.16
2023,WI,Wisconsin,Midwest,3.3
2024,WI,Wisconsin,Midwest,5.26
2000,WY,Wyoming,West,5.11
2001,WY,Wyoming,West,5.1
2002,WY,Wyoming,West,4.97
2003,WY,Wyoming,West,5.67
2004,WY,Wyoming,West,4.45
2005,WY,Wyoming,West,4.43
2006,WY,Wyoming,West,5.42
2007,WY,Wyoming,West,5.24
2008,WY,Wyoming,West,6.86
2009,WY,Wyoming,West,7.22
2010,WY,Wyoming,West,8.52
2011,WY,Wyoming,West,6.19
2012,WY,Wyoming,West,7.16
2013,WY,Wyoming,West,3.21
2014,WY,Wyoming,West,4.73
2015,WY,Wyoming,West,3.51
2016,WY,Wyoming,West,4.79
2017,WY,Wyoming,West,5.19
2018,WY,Wyoming,West,2.63
2019,WY,Wyoming,West,5.6
2020,WY,Wyoming,West,8.42
2021,WY,Wyoming,West,7.26
2022,WY,Wyoming,West,3.78
2023,WY,Wyoming,West,2.51
2024,WY,Wyoming,West,3.41
